Marca,Modelo,Precio_original,Ud_vendidas2024,Precio_MOVESIII(sin/con achatarramiento)
BMW,iX1,48900,152,43.400 / 40.900
Tesla,Model Y,44990,1105,39.490 / 36.990
Tesla,Model 3,39990,1389,34.490 / 31.990
Hyundai,Kona eléctrico,40950,116,35.450 / 32.950
Kia,e-Niro,37994,224,32.494 / 29.994
BYD,Atto 3,37990,155,32.490 / 29.990
Volvo,EX30,37500,125,32.000 / 29.500
BYD,Dolphin,35690,126,30.190 / 27.690
Citroën,ë-C4,33640,180,28.140 / 25.640
MG,MG4,26480,625,20.980 / 18.480
Hyundai,Kona eléctrico,25640,116,20.140 / 17.640
