Ciudad/Provincia,Latitud,Longitud,Puntos de recarga
Barcelona,41.3851,2.1734,2421
Madrid,40.4168,-3.7038,2248
Valencia,39.4699,-0.3763,1075
Málaga,36.7213,-4.4214,890
Alicante,38.3452,-0.481,851
Baleares,39.6953,3.0176,814
Gerona,41.9794,2.8214,721
Asturias,43.3619,-5.8494,676
Murcia,37.9834,-1.1299,558
Tarragona,41.1189,1.2445,527
Sevilla,37.3891,-5.9845,524
Cádiz,36.5271,-6.2886,456
Vizcaya,43.263,-2.935,437
Pontevedra,42.4308,-8.6444,425
Navarra,42.6954,-1.6761,423
Cantabria,43.1828,-3.9878,422
Granada,37.1773,-3.5986,399
Zaragoza,41.6488,-0.8891,382
"Coruña, A",43.3623,-8.4115,373
Guipúzcoa,43.312,-1.9786,360
