pais,total_vehiculos,vehiculos_electricos,representa_electricos(%),puntos_recarga,lat,lon
Noruega,2900000,754303,26.0,22000,60.472,8.4689
Países Bajos,9100000,400000,4.4,100000,52.1326,5.2913
Alemania,48500000,1200000,2.5,80000,51.1657,10.4515
Francia,39000000,800000,2.05,75000,46.6034,1.8883
Reino Unido,33000000,700000,2.1,50000,55.3781,-3.436
Suecia,5200000,350000,6.7,30000,60.1282,18.6435
Dinamarca,2800000,100000,3.6,10500,56.2639,9.5018
España,30720000,220000,0.71,32500,40.4637,-3.7492
Italia,39500000,150000,0.38,54000,41.8719,12.5674
Portugal,5500000,100000,1.8,8500,39.3999,-8.2245
Austria,6000000,120000,2.0,40000,47.516231,14.550072
